Cover,Title,Artist,Year,Format,Condition
"freedom-of-choice.jpg",Freedom of Choice,Devo,1980,LP,Used
"stained-class.jpg",Stained Class,Judas Priest,1978,LP,New
"dirty-mind.jpg",Dirty Mind,Prince,1980,LP,New
"lost-themes.jpg",Lost Themes,John Carpenter,2015,LP,New
"blunderbuss.jpg",Blunderbuss,Jack White,2012,LP,New
"joysticks.jpg",Joysticks (soundtrack),Ray Kenetsky and Legion,2016 (movie 1983),LP,New
"man-child.jpg",Man-Child,Herbie Hancock,1975,LP,Used
"thrust.jpg",Thrust,Herbie Hancock,1974,LP,Used
"romantic-warrior.jpg",Romantic Warrior,Return to Forever,1976,LP,Used
"shaft.jpg",Shaft (soundtrack),Isaac Hayes,1971,LP,Used
"if-you-want-blood.jpg",If You Want Blood…,AC/DC,1978,LP,Used
"man-of-la-mancha.jpg",Man of La Mancha (soundtrack),Mitch Leigh and Cast,1972,LP,Used
"back-to-oakland.jpg",Back to Oakland,Tower of Power,1974,LP,Used
"frampton-comes-alive.jpg",Frampton Comes Alive,Peter Frampton,1976,LP,Used
"on-the-threshold-of-a-dream.jpg",On the Threshold of a Dream,The Moody Blues,1969,LP,Used
"fear-of-music.jpg",Fear of Music,Talking Heads,1979,LP,Used
"south-of-the-border.jpg",South of the Border,Herb Alpert and the Tijuana Brass,1964,LP,Used
"godspell.jpg",Godspell (soundtrack),Stephen Schwartz and Cast,1972,LP,Used
"run-with-the-pack.jpg",Run with the Pack,Bad Company,1976,LP,Used
"in-search-of-the-lost-chord.jpg",In Search of the Lost Chord,The Moody Blues,1968,LP,Used
"all-the-worlds-a-stage.jpg",All the World's a Stage,Rush,1976,LP,Used
"fragile.jpg",Fragile,Yes,1971,LP,Used
"seventh-sojourn.gif",Seventh Sojourn,The Moody Blues,1972,LP,Used
"the-best-of-mancini.jpg",The Best of Mancini,Henry Mancini,1964,LP,Used
"rise.jpg",Rise,Radiant Reveries,2016,LP,New
"hello-dolly.jpg","Hello, Dolly (soundtrack)",Jerry Herman and Cast,1964,LP,Used
"is-it-something-i-said.jpg",…Is it Something I Said?,Richard Pryor,1975,LP,Used
"animals.jpg",Animals,Pink Flyod,1977,LP,New
"be-yourself-tonight.jpg",Be Yourself Tonight,Eurythmics,1985,LP,Used
"catch-a-fire.jpg",Catch a Fire,Bob Marley and the Wailers,1973,LP,Used
"boston.jpg",Boston,Boston,1976,LP,Used
